City,Name,Popular Mentions,Score,Reviewers#,Excellent,Very good,Average,Poor,Terrible,Excellent_ratio,VG_ratio,Average_ratio,Poor_ratio,Terrible_ratio,Url,Tripadvisor rank
Cairo,Trans travel,"['memphis tours', 'tour consultant', 'nile cruise', 'wonderful trip', 'travel experience', 'abu simbel', 'dead sea', 'incredible experience', 'egyptian museum', 'every step of the way', 'private tour', 'amazing tour', 'nubian village', 'visit egypt', 'made us feel', 'kom ombo', 'cairo airport', 'always on time', 'his team', 'luxor temple', 'wonderful guide', 'day tour', 'his knowledge', 'felt safe', 'ancient egypt', 'afifi', 'yasmeen', 'itinerary', 'company', 'driver']",5.0,535,535.0,1.0,0.0,0.0,0.0,1.0,0.0018691588785046,0.0,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294201-d17462467-Reviews-Trans_travel-Cairo_Cairo_Governorate.html,2
Cairo,Trans travel,"['memphis tours', 'tour consultant', 'nile cruise', 'wonderful trip', 'travel experience', 'abu simbel', 'dead sea', 'incredible experience', 'egyptian museum', 'every step of the way', 'private tour', 'amazing tour', 'nubian village', 'visit egypt', 'made us feel', 'kom ombo', 'cairo airport', 'always on time', 'his team', 'luxor temple', 'wonderful guide', 'day tour', 'his knowledge', 'felt safe', 'ancient egypt', 'afifi', 'yasmeen', 'itinerary', 'company', 'driver']",5.0,535,535.0,1.0,0.0,0.0,0.0,1.0,0.0018691588785046,0.0,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294201-d17462467-Reviews-Trans_travel-Cairo_Cairo_Governorate.html,2
Cairo,Sahara Travel,"['tour manager', 'memphis tours', 'nile cruise', 'egyptian museum', 'ahmed osman', 'made us feel', 'abu simbel', 'egypt trip', 'amazing trip', 'cairo airport', 'his passion', 'ancient egypt', 'private tour', 'went smoothly', 'an amazing guide', 'travel company', 'wealth of knowledge', 'special thanks', 'through customs', 'every step', 'the entire trip', 'papyrus shop', 'national museum', 'once in a lifetime', 'answered all of our questions', 'his team', 'took great care', 'day tour', 'amazing country', 'always felt safe']",5.0,917,902.0,14.0,1.0,1.0,1.0,0.9836423118865868,0.015267175572519,0.0010905125408942,0.0010905125408942,0.0010905125408942,https://www.tripadvisor.com//Attraction_Review-g294201-d16780499-Reviews-Sahara_Travel-Cairo_Cairo_Governorate.html,5
Cairo,Egypt Tour Guide - Mina Samir,"['his team', 'excellent photographer', 'photography skills', 'his knowledge', 'amazing photos', 'cabin crew', 'made us feel', 'papyrus museum', 'solo trip', 'always on time', 'our entire trip', 'taking photos', 'amazing trip', 'giza pyramids', 'arranged everything', 'taking care', 'great guide', 'visit cairo', 'felucca ride', 'answered all our questions', 'nile cruise', 'spent days', 'felt very safe', 'beautiful country', 'ancient history', 'falafel', 'great pyramid', 'samir', 'airport', 'egypt']",5.0,918,914.0,6.0,0.0,0.0,0.0,0.9956427015250544,0.0065359477124183,0.0,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294201-d4064603-Reviews-Egypt_Tour_Guide_Mina_Samir-Cairo_Cairo_Governorate.html,6
Cairo,Pyramids Land Private Tours,"['egyptian museum', 'takes great pictures', 'skilled driver', 'great tour', 'nice guide', 'essential oils', 'ride camels', 'long layover', 'would highly recommend this tour', 'crazy cairo', 'buy souvenirs', 'booked this tour', 'ancient egypt', 'excellent driver', 'egyptian experience', 'papyrus shop', 'answered all our questions', 'day tour', 'great knowledge', 'cairo tour', 'gouda', 'hoka', 'rasha', 'bazaar', 'pyramids', 'sites', 'mahmoud', 'abu', 'pharmacy', 'egyptologist']",5.0,1944,1874.0,46.0,6.0,6.0,13.0,0.9639917695473252,0.0236625514403292,0.0030864197530864,0.0030864197530864,0.0066872427983539,https://www.tripadvisor.com//Attraction_Review-g294201-d18313769-Reviews-Pyramids_Land_Private_Tours-Cairo_Cairo_Governorate.html,12
Cairo,Personalized Egypt Tours,"['photography skills', 'amazing photos', 'his knowledge', 'great photographer', 'professional tour guide', 'brilliant experience', 'civilization museum', 'photo locations', 'highly recommend you book', 'spent several days', 'takes great pictures', 'air conditioned car', 'sultan hassan mosque', 'anyone planning', 'speaks excellent english', 'egypt tours', 'historical facts', 'explaining everything', 'private guide', 'experienced guide', 'touring cairo', 'deep knowledge', 'giza pyramids', 'memorable trip', 'day tour', 'excellent guide', 'felt very safe', 'great tour', 'miro', 'album']",5.0,114,114.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294201-d25221395-Reviews-Personalized_Egypt_Tours-Cairo_Cairo_Governorate.html,22
Cairo,Egypt Day Tours,"['day tour', 'egyptian museum', 'nile cruise', 'his knowledge', 'cairo airport', 'made us feel', 'always on time', 'highly recommend this company', 'beautiful country', 'fantastic tour', 'the entire trip', 'an excellent guide', 'felt safe', 'maro', 'mr', 'alexandria', 'driver', 'pyramids', 'itinerary', 'saqqara', 'osama', 'mo', 'sites', 'representative', 'egyptologist', 'papyrus', 'tipping', 'valley', 'hurghada', 'karnak']",5.0,917,883.0,33.0,0.0,1.0,0.0,0.9629225736095964,0.0359869138495092,0.0,0.0010905125408942,0.0,https://www.tripadvisor.com//Attraction_Review-g294201-d3210482-Reviews-Egypt_Day_Tours-Cairo_Cairo_Governorate.html,27
Cairo,Private Tour Guides,"['highly recommend her to anyone', 'egyptian museum', 'great sense of humor', 'wonderful days', 'day tour', 'coptic area', 'pyramids sphinx', 'egyptian experience', 'ancient egypt', 'local restaurants', 'took great care', 'coptic cairo', 'great photos', 'great tour', 'perfect guide', 'knowledgeable guide', 'spent days', 'amazing trip', 'small group', 'visiting egypt', 'falafel', 'always felt safe', 'once in a lifetime', 'khan el khalili', 'historical sites', 'wealth of knowledge', 'great pyramid', 'made us feel', 'gomaa', 'mona']",5.0,317,309.0,7.0,0.0,0.0,1.0,0.9747634069400632,0.0220820189274447,0.0,0.0,0.0031545741324921,https://www.tripadvisor.com//Attraction_Review-g294201-d10794410-Reviews-Private_Tour_Guides-Cairo_Cairo_Governorate.html,28
Cairo,Private Tour Guides,"['highly recommend her to anyone', 'egyptian museum', 'great sense of humor', 'wonderful days', 'day tour', 'coptic area', 'pyramids sphinx', 'egyptian experience', 'ancient egypt', 'local restaurants', 'took great care', 'coptic cairo', 'great photos', 'great tour', 'perfect guide', 'knowledgeable guide', 'spent days', 'amazing trip', 'small group', 'visiting egypt', 'falafel', 'always felt safe', 'once in a lifetime', 'khan el khalili', 'historical sites', 'wealth of knowledge', 'great pyramid', 'made us feel', 'gomaa', 'mona']",5.0,317,309.0,7.0,0.0,0.0,1.0,0.9747634069400632,0.0220820189274447,0.0,0.0,0.0031545741324921,https://www.tripadvisor.com//Attraction_Review-g294201-d10794410-Reviews-Private_Tour_Guides-Cairo_Cairo_Governorate.html,28
Cairo,Ramasside Tours,"['booking process', 'day tour', 'egyptian museum', 'food tour', 'great tour', 'giza pyramids', 'nile cruise', 'private tour', 'cairo tour', 'camel ride', 'answered all of our questions', 'his knowledge', 'made us feel', 'felt safe', 'the entire trip', 'visit egypt', 'an excellent guide', 'always on time', 'great pyramid', 'ancient egypt', 'mina', 'nada', 'alexandria', 'driver', 'airport', 'company', 'sites', 'ramses', 'itinerary', 'mr']",5.0,2415,2258.0,139.0,10.0,5.0,6.0,0.9349896480331265,0.0575569358178053,0.0041407867494824,0.0020703933747412,0.0024844720496894,https://www.tripadvisor.com//Attraction_Review-g294201-d2263764-Reviews-Ramasside_Tours-Cairo_Cairo_Governorate.html,29
